Testart;Wann;wann_dropdown;Testuser;testuser_dropdown;Anzahl der Testuser;testuser_anzahl_dropdown;Ziel;Rückmeldung;Skala;Zeit pro Teilnehmer;Setting;Vorhandene Formulare;Weiterführende Links
Usability-Testing;Prototyping-Phase und regelmäßig während der Entwicklung;Während der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;Endbenutzer;5-7 pro Session;5-10;Identifikation von Usability-Problemen und Verbesserung der Benutzerfreundlichkeit;Beobachtungen, Think-Aloud-Protokoll, Post-Test-Fragebogen;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;;
Beta-Testing;Kurz vor der offiziellen Veröffentlichung;Ende der Entwicklung;Echte Endbenutzer (Mischung aus Fach-bekannten und Fachfremden);Endbenutzer;50-500;>10;Finden von letzten Fehlern, Performance-Problemen und Sammeln von Feedback zur Benutzererfahrung;Bug-Reports, Feedback-Formulare, Umfragen;Offene Fragen und Likert-Skala (1-5);30 Minuten pro Woche;Remote;;;
A/B-Testing;Nach der Veröffentlichung, bei Änderungen an bestehenden Funktionen oder Einführung neuer Funktionen;Ende der Entwicklung;Endbenutzer;Endbenutzer;>500;>10;Vergleich der Leistung und Benutzerakzeptanz zwischen Varianten;Automatisierte Datensammlung (Klicks, Conversion-Rates);Quantitative Daten (KPI);Laufend;Remote;;;
Exploratory-Testing;Während der Entwicklung, vor formalen Testphasen;Während der Entwicklung;Erfahrene Tester oder Entwickler;Entwickler;3-5;1-5;Unstrukturierte Entdeckung von Fehlern und Schwachstellen;Fehlerberichte, mündliches Feedback;Qualitatives Feedback, offene Fragen;60-120 Minuten;Vor Ort;;;
Remote Usability-Testing;Während der Prototyping-Phase und vor großen Releases;Ende der Entwicklung;Fachfremde Benutzer, die zur Zielgruppe gehören;Endbenutzer;5-10 pro Runde;5-10;Sammeln von Usability-Feedback und Beobachtung der Interaktion;Bildschirmaufnahmen, Audioaufnahmen, Fragebögen;Likert-Skala (1-5);60-90 Minuten;Remote;;;
Accessibility-Testing;Während der Entwicklung und vor dem Release;Während der Entwicklung;Benutzer mit Behinderungen;Benutzer mit speziellen Bedürfnissen;5-10;5-10;Sicherstellen der Zugänglichkeit;Beobachtungen, Fehlerberichte, Fragebögen;Likert-Skala (1-5);60-120 Minuten;Vor Ort oder remote;;;
Performance-Testing;Späte Entwicklungsphase, vor dem Release;Ende der Entwicklung;Technische Experten und automatisierte Testtools;Fachexperten;-;Andere;Überprüfung von Geschwindigkeit, Skalierbarkeit, Stabilität;Automatisierte Performance-Metriken, Logs;Quantitative Daten (Ladezeiten, Durchsatz);Laufend;Vor Ort oder remote;;;
User Acceptance Testing (UAT);Am Ende der Entwicklungsphase, kurz vor dem Release;Ende der Entwicklung;Endbenutzer oder Stakeholder;Endbenutzer;10-20;>10;Verifizierung der Anforderungen und Erwartungen;Abnahmeberichte, Fragebögen;Likert-Skala (1-5);60-120 Minuten;Vor Ort oder remote;;;
Focus Groups;Vor und während der frühen Entwicklungsphasen;Während der Entwicklung;Vertreter der Zielgruppe, Fach-bekannte und Fachfremde;Endbenutzer;6-10 pro Gruppe;5-10;Einholen von Meinungen und Vorschlägen;Gruppendiskussionen, Protokolle, Fragebögen;Likert-Skala (1-5);2-3 Stunden;Vor Ort;;https://www.onlinemarketing-praxis.de/glossar/fokusgruppen;
Heuristic Evaluation;Vor Usability-Tests und während der Design-Phase;Anfang der Entwicklung;Usability-Experten;Fachexperten;3-5;1-5;Identifikation von Usability-Problemen;Expertenberichte, Checklisten;Likert-Skala (1-5);60-90 Minuten;Vor Ort oder remote;;;
